id,title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term,skills,skills_by_category,priority,status,category,inserted_at,last_verified,user_id
d8ed3616-869f-4d54-961f-113090ea7f70,Java Developer with React,Info Way Solutions,"Work From Home, IN (Remote)","work from home, in (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3P3FH6F8TR3SS2VY6H,False,react developer,[],{},0,new,,2025-07-16 19:48:01.777143,,
0cab01b2-7af8-42cc-8da2-91af8b99e8ee,Lead React JS Developer (Full Time) - 100% Remote,The Dignify Solutions LLC,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3S5KV614XHTZ13751T,False,react developer,[],{},0,new,,2025-07-16 19:48:06.415251,,
0e5afc07-87d8-4524-80ad-48580f5d9024,"UI Developer/Lead with React JS, JavaScript, Next JS skills",Diverse Lynx,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3M1FK6MTC5GVMBSZMX,False,react developer,[],{},0,new,,2025-07-16 19:48:11.043513,,
a29a7193-cfdb-49d0-83ce-d755aacce04e,Senior Developer (PHP-React),iClassPro,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3T3BP6SQLYBK0Y669F,False,react developer,[],{},0,new,,2025-07-16 19:48:15.719399,,
37cdb8d2-2f12-4463-b3f1-0b5d4ea7d2f2,Entry Level Full-Stack Developer (Java + React),SynergisticIT,"Work From Home, ID (Remote)","work from home, id (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3W2L56R2RSJRYQC9WD,False,react developer,[],{},0,new,,2025-07-16 19:48:20.327486,,
ca306662-0e66-40e4-8172-3965031c84b3,Java React Full Stack Developer,SynergisticIT,"Work From Home, TN (Remote)","work from home, tn (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3T0CS604YFJT5YHW3J,False,react developer,[],{},0,new,,2025-07-16 19:48:24.960696,,
f1eed235-2ebc-4b26-8a3c-5e0762d9f084,Frontend Developer - React,"MLee Healthcare Staffing and Recruiting, Inc","Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3V0PC6S9F82WKTQXJF,False,react developer,[],{},0,new,,2025-07-16 19:48:33.663072,,
c730d526-8ef2-4d57-93d6-b4906656342c,Java React Full Stack Developer,SynergisticIT,"Work From Home, NC (Remote)","work from home, nc (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3S6TJ772B90MDBT8DH,False,react developer,[],{},0,new,,2025-07-16 19:48:38.301156,,
75e5ea36-0259-4aa8-8aae-18bd090474cf,Java React Full Stack Developer,SynergisticIT,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3T0WC733NCCVN130HP,False,react developer,[],{},0,new,,2025-07-16 19:48:42.933924,,
79a3da1c-1b9c-496f-a59c-01abfe3dfdbb,React JS Developer (Full Time) - 100% Remote,The Dignify Solutions LLC,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3P7ZJ6X7P09B88MK0C,False,react developer,[],{},0,new,,2025-07-16 19:48:47.572198,,
f7e2e17b-ae59-4e02-a426-a6347ca8fc08,React/React Native,CyberTec,"Work From Home, WA (Remote)","work from home, wa (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3M4HS75XFJNL8GS11B,False,react developer,[],{},0,new,,2025-07-16 19:48:52.201601,,
4a4634c7-e07f-4308-9dc6-f9f460421952,Sr. React Native Engineer,Intellisoft Technologies,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3Q39R77MJ0Y59X01NL,False,react developer,[],{},0,new,,2025-07-16 19:48:56.913184,,
c41e8ea3-10ae-4830-b3f3-6d08da0beb7c,React Software Engineer,Ringside Talent Acquisition Partners,"Work From Home, OH (Remote)","work from home, oh (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3P3WL63MDS0BGLJBSR,False,react developer,[],{},0,new,,2025-07-16 19:49:01.543399,,
f1e3f236-9f75-4c4a-8156-5c7e1548a89f,Senior .Net developer with React (Remote),Cognizant,"Duluth, GA (Remote)","duluth, ga (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3V37S776Z1MTG7QKL1,False,react developer,[],{},0,new,,2025-07-16 19:49:06.200497,,
e1c28cc6-449d-4f62-bdec-91e4989b480a,Frontend Engineer React,Nacelle,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3P1Y45YSX0K43DSHSK,False,react developer,[],{},0,new,,2025-07-16 19:49:10.849293,,
a3b11a68-e7cc-4d30-b0b2-1031ca40d2c5,Senior Front End Engineer - React,Facet LLC,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3R7296WN6YXG3H98QH,False,react developer,[],{},0,new,,2025-07-16 19:49:15.902665,,
851a0efe-1198-4726-b9c4-dcd8edb26ae4,"Senior Software Engineer (Remote) - React, Node",ECP,"Chicago, IL (Remote)","chicago, il (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3V3SM6FLLQX0196RM8,False,react developer,[],{},0,new,,2025-07-16 19:49:20.586038,,
aa38460f-80d5-48e8-a0c2-6fe05851f97a,Senior Frontend Engineer - TypeScript / React / GIS / Spatial Data (Washington/Remote),Attis,"Washington, DC (Remote)","washington, dc (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3W2YQ615WNGDHMCTSX,False,react developer,[],{},0,new,,2025-07-16 19:49:25.254331,,
fe63a097-36df-426e-9456-d64d30208978,UI/Frontend Tech stack (React | Angular and Node JS),Tekfortune Inc,"Work From Home, TX (Remote)","work from home, tx (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3S44369QZDR6YMHHKZ,False,react developer,[],{},0,new,,2025-07-16 19:49:29.945307,,
dce488c9-de07-41f0-b7d1-f57888c4b17f,Senior React Engineer,ZipRecruiter,"Work From Home, AL (Remote)","work from home, al (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3S4976K40FTD8BRXCP,False,react developer,[],{},0,new,,2025-07-16 19:49:34.598718,,
b93a9ac7-9c53-42f9-a0b4-0f6b36917619,Senior Full-Stack Engineer (React / .NET / Live Streaming eCommerce),Jatango LLC,"Work From Home, OH (Remote)","work from home, oh (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3P8CQ659FJ31J15WL0,False,react developer,[],{},0,new,,2025-07-16 19:49:39.244752,,
af1a2cd6-7699-4772-a005-2e545815c04c,React Native Engineer @ 100% Remote,Saxon Global,USA (Remote),usa (remote),2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3Q7VZ6T6942XLYJXPY,False,react developer,[],{},0,new,,2025-07-16 19:49:43.888382,,
e5088ff0-fb99-45e3-b82c-5b2a348abfc5,Python Developer,Emonics LLC,"Work From Home, MI (Remote)","work from home, mi (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3Q7DR6P0C5QC60JD24,False,react developer,[],{},0,new,,2025-07-16 19:49:48.556649,,
d158e540-82ef-4c37-b63f-69d964c1435f,Full Stack Developer - Remote,Jobot,"Work From Home, IL (Remote)","work from home, il (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3N27M73SCR2XVYKY0Q,False,react developer,[],{},0,new,,2025-07-16 19:49:53.156933,,
56aa4469-a181-4244-951d-9c81860847fc,Senior Dotnet Developer,Kasmo Global,"Work From Home, OH (Remote)","work from home, oh (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3R7PW77GTNBKJKZNNL,False,react developer,[],{},0,new,,2025-07-16 19:49:57.788693,,
e3bf7a06-8c58-4c34-b6c3-8815e1d34b0e,NetSuite Developer,Pyramid Consulting,"Work From Home, IN (Remote)","work from home, in (remote)",2025-07-16,CareerBuilder,,N/A,https://www.careerbuilder.com/job/J3P4VP5XLK3Y7VRT8QB,False,react developer,[],{},0,new,,2025-07-16 19:50:02.436094,,
