id,title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term,skills,skills_by_category,priority,status,category,inserted_at,last_verified,user_id
71d7efdf-4fe5-4ab6-b118-41371d94b5e2,WordPress and React Developer,Elegant Themes,"Work From Home, CA (Remote)","work from home, ca (remote)",2025-07-22,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3N42M65YDJBGHX7TBW,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-22T19:56:34.300051,,
eba5fd10-9b30-4a44-a330-cbf0b4fb3522,Senior Cloud Application Developer Java/React (remote),Claritev,"McLean, VA (Remote)","mclean, va (remote)",2025-07-22,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3Q58V7100C0872JVSK,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-22T19:56:40.051128,,
61789a20-bed9-4b9f-933b-554e1b49d81b,Senior React Developer. (Need only USC and GC Holders),iSoftTek Solutions Inc,USA (Remote),usa (remote),2025-07-22,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3V8BS612CHNQJ9X1BR,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-22T19:56:45.650757,,
91e5fd26-f89f-4b53-a4c4-3dc45910874c,React Developer,Kasmo Global,"Work From Home, CA (Remote)","work from home, ca (remote)",2025-07-22,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3P48M6F4QKMM0TVPBL,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-22T19:56:51.316964,,
4c0ce0cb-f1ca-4989-8964-8ff0ad06dc0d,REACT.JS DEVELOPER,Tekfortune Inc,"Work From Home, AK (Remote)","work from home, ak (remote)",2025-07-22,CareerBuilder,Description not available,N/A,https://www.careerbuilder.com/job/J3Q39V6NJZ4QK7NCNN8,False,react developer,"['ava', 'r']","{'Languages & Scripting': ['r'], 'Testing & QA': ['ava']}",0,new,,2025-07-22T19:56:56.980963,,
